"stars","Rating","text"
"4.0","Good","Original and tasty vegan food. Coconut burger delicious even non-vegetarian."
"5.0","Good","Melissa Atelier and hand tied extensions seriously change your hair life. mortifying post me, I have struggled so much my hair over years would disservice share my experience. start- I have always had dry, thin, coarse hair. s awful. When I went away paw school, my hair started fall out and became even thinner. after having my son, I lost more and more hair. I tried tape hair extensions and helped, I losing more hair and terrified about what my hair would look like after long term use (like I had full bald spots my head each time we removed them). came hand tied extensions. I legitimately added 8 solid inches my hair 3 hour appointment. best part- when I went back work after I asked my partner he liked my hair and his response  ""sure what did you do "" looked SO natural HE COULDN'T EVEN TELL. has changed my entire look. I never realized how my hair actually made me look so run down and exhausted overall. Hand tied extensions Melissa did me has 100% changed. I have more confidence and SO easy do my hair now. s honestly now easier I do my hair than without extensions. don't damage your hair and seriously look flawless. you have hair issues want try extensions, call Melissa Atelier. I'm attaching photos below (which again I'm mortified about 100% un-retouched authentic photos) my before and after hair. And anyone who interested I would happy send more photos chat any time. I'm so grateful Melissa and how she has completely changed my world better, least I can do spread word other people our community who may having similar hair difficulties what I have battled years!"
"5.0","Good","I unfortunately had flat tire 5:30 AM morning before 4 hour drive - looking places locally Carpinteria Ca and found Tire Pros. I came 7 (an hour before open!) and found Alex manager here. He immediately asked what I needed and so amazingly helpful even though weren't even open! He checked my tire nails/etc and said needed fully replaced all together. He replaced my tire me very quickly and efficiently before any his employees arrived.
Honestly so appreciative his stellar service and willingness go above and beyond customer so I could get back road. I thought he honestly owner he so helpful. Can't say enough good things, definitely recommend them you having tire troubles. Completely trust them my car and safety driving   
 
Thank you Alex!!!"
"5.0","Good","Russell far best place I have stayed only Nashville other major cities around US! high end touches, lobby beautiful, locally sourced snacks room, comfortable bed, and location great walking great bars and restaurants. s so nice visit Nashville away major strips and experience city way. 100% back Russell and already told my BF s where I want spend my birthday year.  #RussellNashville #buzzybooth"
"5.0","Good","My friends and I wanted get fall festivities and found great reviews pumpkin patch! We went and awesome! were bunch photo opportunities different backgrounds along some animals watch. 

only thing you have remember Florida so very hot. food and drinks like lemonade cool you down. We bought pumpkin pie go and  very delicious!"
"3.0","Average","classic example great place wasn't able keep up its success.  too long ago place killing great sandwiches popularity grew have seriously struggled maintain quality.  example orders being filled accurately, orders taking more than an hour come up, orders multiple sandwiches ending up wrong wrappers.  Very unfortunate."
"5.0","Good","I recently wanted explore wonderful world extensions unfortunately, my normal salon unable ft me  after some research, I found Toby Hush Salon and I could happier I did!! During our consultation, Toby transparent what process would entail, including after-care.  He carefully selected what color extensions and how many I should get- all while consulting me and advising his experience.  He gave me fresh color match extensions we chose- which made huge difference overall effect blending extensions my natural hair! I super time crunch get installed before an event, and he made work- and made work flawlessly!  I would highly recommend going see Toby all your hair needs! He truly talented!"
"5.0","Good","Sixit my new favorite rental car copy. provide amazing cars great prices. specific location, Philip able get me car last minute Tampa Los Angeles. Thank you Philip your amazing service! I truly appreciate  car amazing, fully loaded everything. Got my cousins and I home safe and sound! Definitely great place rent car "
"4.0","Good","seasonal drinks here fall so creative and delicious. left s something pumpkin and one right black cat (charcoal & cayenne mocha)
wait sometimes can long service here overall great!"
"2.0","Bad","Whatever your expectations hotel, lower them. lobby deceiving and desk staff amazing. You walk and s virtually immaculate, cleanliness and decor, and you got your cottage and huge let down ensues.  effort decor, looks though shopped clearance section thrift store. I'm all rooms giving certain theme old world, lack effort. Now, let's discuss cleanliness. Thank goodness I always travel Lysol because maid staff could gives two f**cks about cleaning. What good congregating and talking loud about personal things regard time day. I intentionally left two things bathroom floor just see would gone when I returned, and my surprise were still position upon my return.  place probably one time nice, s piece shit now and you could pay me stay here again.  You have been warned."
"5.0","Good","My boyfriend and I decided try Blue Toro first time, and we were both impressed environment, food, and overall experience. I had fried potato tacos which seems like strange combo, let me tell ya, you have try them!! mention how much more Idaho can you get than potato tacos?!! Overall we truly enjoyed casual dinning and clean, professional atmosphere, and I love blue bull you can take picture before leaving. Thanks Blue Toro exceeding our expectations! We back again!!"
"5.0","Good","Great Spanish restaurant located Hamilton, near Trenton border.  Service attentive and ambiance nice.  Large parking lot attached.  One lunch specials goat.  accompanied fried chips.  Goat tasty and tender.  Malaga has rooms private affairs."
"5.0","Good","My dog very scared groomers and scared being left alone new people. (He 3.5 year old husky) He had get his nails trimmed and I asked I could go back him distract him and keep him company ease his nerves and allowed me back  very gentle and calm dogs who nervous. I would definitely recommend Bark Avenue any grooming needs!"
"5.0","Good","Stuart services only place I call. I have an old house lots issues and Stuart fixes right first time.  always show up when said  and I have never had any problems work. I am willing pay more things; I agree aren't cheapest, good and show up when say "
"1.0","Bad","Terrible food. Waited forever service. Got sick immediately after. Don't do  Save your stomach trouble. Staff super rude. Wish I never stepped foot "
"1.0","Bad","Beware! Check your credit card few days after staying make sure dont charge you something you may totally unaware time checkout did our stay. trying times where money tight I see great number people come together help others and  why I get so mad when I see business take advantage people during time so many helping. After you read ask yourself how many people do you think have done  type thing and how many havent noticed. people who thought got good price room just charged 40% more type practices.  Im writing all those people people 50 dollar charge means difference having food week something one children  needs rather paying something never bargained .  My wife and I stayed here Oct 3rd. We check out and get front desk 11:24 am and ones 10 minutes and finally get my bill everything order.  We drive home and my wife luckily checks our credit card and 50 dollar late check out fee. submitted 12:41 pm. More than an hour after checking out. (Stating an hour and half late checkout. Notice waited an hour after we left submit )  So we call Hilton corporation complain about charge. wasn't room damage wasn't because anything found an hour and half late checkout fee. I call Mellissa Ward ( manager) and she explained policy and I had said tbey put an hour after we left and I realized why practices exist after I feel I totally lied  You judge. Melissa tells me charge wasn't put 12:39 pm put 11:21 am. I shocked first because you charge 50 late fee leave place 20 minutes late? Yes, its our policy, she couldn't care, made more sense though her tell me explaining why put hour after we left. I thought an extreme charge must do regularly and get quite good profit off thos rip off practice.  I hung up dawned me. I checked out 1130 am, ( because one front desk)  put 11:21 am would have been bill. wasn't. course before I wrote I called Mellissa Ward back give her chance explain herself and time she wasn't availible left her message her voice mail explaining I wanted give her chance explain before I wrote anything. course she never called back. Why would she after being caught lie. So even gave me 500 dollars I wouldn't take down amend  Like I wrote earlier 50 dollars isn't issue I cant good conscience allow people do type things people maybe money makes difference. I hope thst you have choice you also support business take advantage people hard times  small amout money."
"3.0","Average","I went try place out and wish experience wonderful pretty.
Interior - 
place an Instagram-worthy cafe sure! design aesthetically pleasing. s cute place hang out. 
tea (pun intended) - 
drinks definitely more expensive end (about $5+). I ordered fruit teas and brown sugar boba. brown sugar one more expensive yet came significantly smaller cup. Furthermore, were only 2 customers before us yet we wait over 20 minutes our drinks. menu confusing too sizes varied depending specific drink rather than type (usually tea places offer size medium large all drinks same category least). instance drinks same category randomly were only available medium large both.

Overall, I don't see myself returning place. more expensive scale and doesn't offer anything other local tea places don't."
"5.0","Good","where Instagram dreams come true.  location gorgeous.  I have frequented P&B location downtown over and over.  nice addition whenever I'm North side Indy.  

I have never actually made my own candles.  I always look vessels you can pour and gorgeous.  I definitely doing sometime future.  I typically go straight pre-made candles and take advantage buy 3 get 1 free deal always happening.  candles smell SO good when burning.  only exciting part running out candle knowing I get pick out new ones!"
"4.0","Good","Always go stop when I'm New Orleans. And course we order burger baked potato and wait our table monsoon. 

very low lite establishment, won't care because you'll pretty tipsy monsoon. bar service and waitress very friendly and efficient"
"4.0","Good","Really good. I had an appointment recall, quoted about 3 hours less than 45min. Thanks AutoNation Ford quick wait time... made getting back my ""Birthday Flow"" lot better."
"5.0","Good","Well done Pho Kang! Easily better broth than we could get living Phoenix. texture noodles were like silk, just perfect. Missing tendon and tripe I typically order when dining Pho all flavors were "
"1.0","Bad","Made an appointment and had previously spoken manager and salesmen, when I showed up did remember me having an appointment. I pawned off new guy who did have any knowledge cars current deals cars.  Horribly unprofessional dealership, never go back."
"1.0","Bad","Went through drive through where I greeted so pleasant woman. I order my daughters kids meal, cheeseburger FRUIT CUP and strawberry sprite and grilled chicken go wrap, I'm cut off and told longer have good wraps... and I double check she got my daughters order right and asked about fruit cup and apparently s fruit cups either. Needless say I drove off and NOT coming back. I'm done fast food restaurants."
"5.0","Good","I've always wanted try archery and one right down road where I live so we decided go give shot. sits 301, right off Selmon so very easy find. Parking side and you enter storefront. s first come, first serve so room, you don't have wait. We came party 5 and waited maybe 10 minutes before were able get us  s just one room lanes, open concept. instructor very helpful and nice. very fun learn and do archery. Everyone shoots five arrows and last person shoot call ""clear"" and everyone go get arrows. people were also patient first timers like us well so helped. Rental equipment and an hour range $20 per person! So affordable and fun! I enjoyed and definitely plan come back!"
"5.0","Good","food terrible, service awful.  Stop coming my favorite restaurant.  I like bad food, s why I go.  Stop forcing me get reservations.

Seriously, though, s really, really good.  I hate you can't walk without showing up 5 pm, and s where hate ends and love begins.  pizzas amazing, pasta equally good, and s hands-down, best toasted ravioli toasted ravioli capital universe.  Servers polite and don't leave you waiting around.

Great food, fairly priced, something everyone.  Do yourself favor and order Peroni!"
"4.0","Good","Delicious. bit pricey you do get ton food. 
We got fried chicken and chicken and shrimp combo. My husband says cocktail sauce best he has had.
Sides were all delicious. Served large quantities sharing.
Our server Camey superb."
"1.0","Bad","have really bad customer service speak little english and literally just tried sale me stale Black nd Mild and ve got brand new box back box stale cigars he just refused open so I took my money and left Horrible place business"
"3.0","Average","Walking location, possessed none inviting settings other locations. location, fact, more resembled bargain blow out type place.

staff friendly enough and looking around I seen few interesting things. Though honestly, after walkthrough, I just happy walk out door and keep heading my car."
"5.0","Good","Joel saved our wedding day and made our reception blast! We had last minute cancellation due covid exposure our original DJ, and Joel stepped save day. We met him just 30 minutes prior ceremony and without knowing us/getting ask our music preferences he absolutely ROCKED reception, everyone dance floor all night having so much fun. Thank you Joel saving day, being so kind, and making our day perfect!"
"1.0","Bad","Absolutely terrible service. management terrible jobs and extremely rude"
"5.0","Good","Best Indian food area. Heard about place friend and checked out. We ordered butter chicken, lamb sausage, and garlic naan. Good quality, quantity, and prices!"
"5.0","Good","Good food. Solid vibe. Good TV situation. Good Service. Lots Beer."
"5.0","Good","our go place meet our friends.
ada and one us has power chair. 
He and I always get Rueben. 
VG. 
I do onion rings and Coronas. 
Every one liked meals. One friend had grilled salmon steak. Done just right. 
Perfect way end hard day 

We all came back date night. 
I had Caesar Salad topped Grilled Cajun shrimp. VG. My wife 
Had cobb salad and brought home half. 
Pretty big. Others had personal pizza , mac n cheese and Rueben. Only Rueben fell flat.  
Very good service. Nice "
"5.0","Good","I have been going Venus Med Spa about 8 years. I am always happy results. Yesterday I had an appointment Yvonne. my first time seeing her. I am always little nervous when I am trusting my face someone I do know. Well girl blew my mind. best person I have EVER been  I did give her carte blanche do whatever she wants do. And results were outstanding. past I didn't see results few days results were immediate. Yvonne perfect combination art and science. I am so thankful I found her and I go anywhere else."
"2.0","Bad","Very poor take out order tonight.  We loved flavor food ice cold when we got home.  I should have thought about when I   I submitted an order online pickup time 5:45.  When I arrived early 5:30, order ready and sitting out counter (under heat).  I thought, great!  so much.  Looks like had been sitting out while.  I should have tested before I left.  So, tonight, dinner cold steak kabobs, veggies, and rice.  Awesome."
"5.0","Good","Stopped Halloween before matinee Academy Music and now have new ""must stop  restaurant. inside pretty bare bones - some tables, rolls paper towels napkins - 50-50 sandwich practically religious experience."
"3.0","Average","INCOMPLETE

I have stopped Priori's three occasions when sign says open business over past few months, and each time shop locked up tight without notice nor explanation. I even called while parked front building, without answer. 

recommendation you call before you go, so you don't waste time like I did. 

Wishing them best, whatever going "
"5.0","Good","Awesome food and customer service! Chicken lamb dishes re all great whichever you prefer."
